id	question	imageurl	correct	answer1	answer2	answer3	answer4	type
1	Phần của đường bộ được sử dụng cho các phương tiện giao thông qua lại là gì?		2	Phần mặt đường và lề đường.	Phần đường xe chạy.	Phần đường xe cơ giới.		0
2	“Làn đường” là gì?		2	Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, sử dụng cho xe chạy	Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có bề rộng đủ cho xe chạy an toàn.	Là một phần của phần đường xe chạy được chia theo chiều dọc của đường, có đủ bề rộng cho xe ô tô chạy an toàn		0
3	Khái niệm “Khổ giới hạn đường bộ” được hiểu như thế nào là đúng?		1	Là khoảng trống có kích thước giới hạn về chiều cao, chiều rộng của đường, cầu, bến phà, hầm đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.	Là khoảng trống có kích thước giới hạn về chiều rộng của đường, cầu, bến phà, hầm trên đường bộ để các xe kể cả hàng hóa xếp trên xe đi qua được an toàn.	Là khoảng trống có kích thước giới hạn về chiều cao của cầu, bến phà, hầm trên đường bộ để các xe đi qua được an toàn.		0
4	Trong các khái niệm dưới đây, “dải phân cách” được hiểu như thế nào là đúng?		3	Là bộ phận của đường để ngăn cách không cho các loại xe vào những nơi không được phép.	Là bộ phận của đường để phân tách phần đường xe chạy và hành lang an toàn giao thông.	Là bộ phận của đường để phân chia mặt đường thành hai chiều xe chạy riêng biệt hoặc để phân chia phần đường của xe cơ giới và xe thô sơ.		0
5	“Dải phân cách" trên đường bộ gồm những loại nào?		1	Dải phân cách gồm loại cố định và loại di động	Dải phân cách gồm giá long môn và biển báo hiệu đường bộ.			0
6	Người lái xe được hiểu như thế nào trong các khái niệm dưới đây ?		1	Là người điều khiển xe cơ giới.	Là người điều khiển xe có súc vật kéo			0
7	Đường mà trên đó phương tiện tham gia giao thông được các phương tiện giao thông đến từ hướng khác nhường đường khi qua nơi đường giao nhau, được cắm biển báo hiệu đường ưu tiên là loại đường gì?		4	Đường không ưu tiên.	Đường tỉnh lộ.	Đường quốc lộ.	Đường ưu tiên.	0
8	Khái niệm “phương tiện giao thông cơ giới đường bộ” được hiểu thế nào là đúng?		2	Gồm xe ô tô; máy kéo; xe mô tô hai bánh; xe mô tô ba bánh; xe gắn máy; xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.	Gồm xe ô tô; máy kéo; rơ moóc hoặc sơ mi rơ moóc được kéo bởi ô tô, máy kéo; xe mô tô hai bánh; xe mô tô ba bánh, xe gắn máy (kể cả xe máy điện) và các loại xe tương tự.			0
9	Khái niệm “phương tiện giao thông thô sơ đường bộ” được hiểu thế nào là đúng?		1	Gồm xe đạp (kể cả xe đạp máy, xe đạp điện), xe xích lô, xe lăn dùng cho người khuyết tật, xe xúc vật kéo và các loại xe tương tự.	Gồm xe đạp (kể cả xe đạp máy, xe đạp điện), xe gắn máy, xe cơ giới dùng cho người khuyết tật và xe máy chuyên dùng.	Gồm xe ô tô, máy kéo, rơ moóc hoặc sơ mi rơ moóc được kéo bởi xe ô tô, máy kéo.		0
10	“Phương tiện tham gia giao thông đường bộ” gồm những loại nào?		3	Phương tiện giao thông cơ giới đường bộ.	Phương tiện giao thông thô sơ đường bộ và xe máy chuyên dùng.	Cả ý 1 và ý 2.		0
