id	title	detail	content	assetURL	typeId	mode
1	Mẹo chọn đáp án	Các lưu ý về khi chọn đáp án	Chọn tất cả các đáp án có cụm từ “Không được” vì tất cả các đáp có cụm từ “Không được” đều là đáp án đúng.@Chọn tất cả các đáp án có cụm từ “Chấp hành” vì tất cả các đáp có cụm từ “Chấp hành” đều là đáp án đúng.@Chọn tất cả các đáp án có từ “Phải” ở đầu câu. Nếu trong 1 câu có nhiều đáp án bắt đầu bằng từ “Phải” thì chọn đáp án dài nhất.	assets/images/tip_1.png	0	b1
2	Câu hỏi khái niệm	Mẹo đối phó với các câu hỏi khái niệm	Chọn đáp án có cụm từ “kính an toàn” với câu hỏi về yêu cầu kính chắn gió@Chọn đáp án không có cụm từ “an toàn giao thông” với câu hỏi phần đường xe chạy@Chọn đáp án có cụm từ “an toàn giao thông” với câu hỏi về làn đường.@Chọn đáp án có cụm từ “kể cả xe đạp máy” với câu hỏi phương tiện giao thông@Chọn đáp án có cụm từ “kể cả xe máy điện” với câu hỏi phương tiện giao thông@Xe tải trọng là xe có tải trọng trục xe vượt quá năng lực chịu tải của mặt đường	assets/images/tip_6.png	0	b1
3	Độ tuổi lái xe	Các độ tuổi cần ghi nhớ	Xe máy là 16 tuổi@Xe máy A1, A2 và ô tô B1, B2 là 18 tuổi@Yêu cầu nam >60 tuổi và nữ >55 tuổi đối với hạng B1@Bằng lái xe hạng C yêu cầu 21 tuổi@Hạng D 24 tuổi và hạng E 27 tuổi	assets/images/tip_7.png	0	b1
4	Tốc độ lái xe	Các câu hỏi về tốc độ	Trong khu vực đông dân cư ( số cuối dòng): \n   +40km/h: Chọn đáp án 1 \n   +80km/h: Chọn đáp án 1 \n   +70km/h: Chọn đáp án 2 \n   +50km/h: Chọn đáp án 3 \n   +60km/h: Chọn đáp án 4 \n Lưu ý: Các bạn cứ nhớ bài toán: 8 x 7 = 5 6 tương ứng với thứ tự các số trong bài toán và đó là đáp án đúng: 80 (đáp án 1), 70 (đáp án 2), 50 (đáp án 3), 60 (đáp án 4)	assets/images/tip_4.png	0	b1
5	Biển báo	Quy tắc về câu hỏi biển báo	Cấm xe nhỏ -> cấm xe lớn (không tính xe mô tô)@Cấm xe lớn -> không cấm xe nhỏ (không tính xe mô tô)@Thấy 2 hoặc 3 biển tròn xanh thì chia 2 trường hợp: \n   +Câu hỏi 1 hàng chọn ý 1. \n   +Còn lại chọn ý 3 (hoặc thấy có từ ngã 3 thì chọn 3). \n   +Cấm rẽ trái thì cấm luôn quay xe; cấm quay xe thì được rẽ trái. \n   +Chú ý biển trật tự với đáp án. \n   +Chọn ngay khi thấy đáp án có từ “KHÔNG ĐƯỢC PHÉP”	assets/images/tip_5.png	0	b1
6	Kỹ thuật máy thiết bị	Các câu hỏi về công dụng của thiết bị	Công dụng của hệ thống truyền lực của ô tô ( dùng để truyền)@Công dụng của hệ thống phanh (dùng để giảm tốc độ)@Công dụng của động cơ ô tô (nhiệt năng thành cơ năng)@Công dụng của hộp số ô tô (chuyển động lùi)@Công dụng của hệ thống lái (dùng chuyển hướng)@Công dụng của ly hợp (dùng để truyền hoặc ngắt)@Động cơ 2 kỳ (2 hành trình); 4 kỳ (4 hành trình@Yêu cầu của kính chắn gió (là loại kính an toàn)@Yên cầu kỹ thuật đối với dây đai an toàn (hãm giữ chặt)@Âm lượng còi (<90<115db)@Khi vào số tiến hoặc lùi xe ô tô số tự động (đạp phanh chân hết hành trình)@Khi quay đầu (đưa đầu xe về phía nguy hiểm)@Điều khiển tăng số (nhip nhàng, chính xác)@Điều khiển xe ô tô tới gần xe ngược chiều vào ban đêm (đèn chiếu xa sang đèn chiếu gần)@Khi nhả phanh tay (kéo cần phanh tay về phía sau đồng thời bóp khóa hãm)@Khi khởi hành ô tô trên đường bằng (ạp ly hợp trên hành trình)@Điều kiện ô tô giảm số (vù ga phù hợp với tốc độ)@Điều kiện ô tô trên đường trơn (không đánh lái ngoặt và phanh gấp)	assets/images/tip_3.png	0	b1
7	Mẹo khác	Tổng hợp một số mẹo thi lý thuyết B1 khác	Nồng độ cồn trong máu giới hạn là 80, giới hạn trong khí thở là 40 (không cần nhớ đơn vị đo)@Thấy chữ đường bộ chọn ngay đáp án 2@Các câu hỏi về quy định khi tham gia giao thông. Câu có từ “nguy hiểm” và “đặc biệt” chọn đáp án có từ “chính phủ”. Câu hỏi có “địa phương quản lý” chọn “UBND @Tỉnh”. Các câu còn lại chọn đáp án “Bộ giao thông” và “cơ quan quản lý giao thông”@Các câu hỏi về thể tích: Buồng cháy (VC: chọn 1 ): Nắp máy chọn điểm chết trên; buồng công tác (VH: chọn 2): Nắp máy chọn điểm chết dưới; buồng làm việc (VS: chọn 3): Điểm chết trên chọn điểm chết dưới@Câu sa hình có 4 xe thì chọn đáp án 3, trừ câu 300 đáp án 1@Chọn đáp án 2 khi thấy tuổi lái xe@Câu hỏi yêu cầu của hệ thống lái chọn ngay đáp án 1@Câu hỏi đường cao tốc mà có 2 đáp án thì chọn đáp án 1@Cấm kéo còi từ 22h đến 5h sáng, còi vang xa 100 m đồng giọng 65-115 dexiBen@Câu hỏi có từ kinh doanh vận tải xe buýt thì chọn đáp án nào dài hơn@Chọn ngay các đáp án có những từ “tuyệt đối không”, “tuyệt đối cấm”, “cấm”@Độ rơ tay lái của xe con là 100, xe khách trên 12 chỗ là 200 và xe tải trên 1.5T là 250.@Câu hỏi công dụng hộp số chọn ngay đáp án 1@Gương chiếu hậu nhìn sau 20 m@Mục đích điều khiển trong hình số 3 số 8: chọn đáp án 1@Cứ gặp câu hỏi cách đường ray bao nhiêu thì đáp án luôn là 5 m	assets/images/tip_8.png	0	b1
8	Bài 1: Xuất phát	Các lưu ý về khi chọn đáp án	Hãy đảm bảo các bước chuẩn bị như thắt dây an toàn, chính gương chiếu hậu được thực hiện trước khi vào đường thi nhé!	assets/images/tip_1.png	1	b1
9	Bài 2: Vạch dành người qua đường	Các lưu ý về khi chọn đáp án	Ở phần thi này, thí sinh phải căn khoảng cách từ thanh cản phía trước của xe đến vạch dừng không quá 500mm. Nếu dừng không đúng vị trí sẽ bị trừ 5 điểm.@Một mẹo nữa đó là khi vừa qua khỏi biển báo stop là dừng lại luôn. Hãy để ý gương chiếu hậu để thấy biển stop đó nhé.	assets/images/tip_1.png	1	b1
10	Bài 3: Dừng và khởi hành ngang dốc	Các lưu ý về khi chọn đáp án	Đây là phần thi mà bạn phải canh dậm chân ga từ từ và đứng trước vạch dừng không quá 50cm, đồng thời không để xe bị tụt dốc quá 50cm. Phần thi này bạn cần từ từ chậm rãi cho xe đi gần đến vạch dừng. 	assets/images/tip_1.png	1	b1
